ID,LATITUDE,LONGITUDE,ELEVATION,2018_MB,2019_MB,2020_MB,2021_MB,2022_MB,2023_MB,2024_MB,Total_Size_MB
USI0000K82V,41.1533,-104.1302,1570.3,12.0,14.0,14.0,13.0,11.0,10.0,7.0,81.0
USI0000K8A3,36.4121,-85.3116,418.2,13.0,13.0,13.0,12.0,13.0,11.0,7.0,82.0
USI0000K8B0,44.9919,-70.6646,556.3,13.0,7.0,12.0,10.0,10.0,10.0,5.0,67.0
USI0000K8W2,38.6557,-78.7081,297.2,14.0,14.0,9.0,12.0,14.0,14.0,7.0,84.0
USI0000K9A5,34.6886,-85.2904,236.8,14.0,14.0,14.0,13.0,13.0,11.0,4.0,83.0
USI0000K9F2,29.1,-90.2,2.0,,,,,,,,
USI0000KA08,32.5124,-87.3856,68.6,13.0,14.0,8.0,,,,,
USI0000KA39,32.9917,-111.9206,396.2,14.0,14.0,14.0,14.0,12.0,14.0,7.0,89.0
USI0000KAAS,37.3583,-85.3094,280.7,6.0,13.0,13.0,14.0,14.0,14.0,6.0,80.0
USI0000KAFO,42.7112,-110.9422,1896.2,14.0,14.0,14.0,14.0,14.0,14.0,7.0,91.0
USI0000KAJL,43.6667,-110.0333,3161.1,3.0,1.0,,,,,,
USI0000KAJR,34.504,-83.549,441.0,14.0,14.0,14.0,13.0,13.0,13.0,7.0,88.0
USI0000KAPS,30.0875,-90.5828,2.0,14.0,14.0,14.0,15.0,14.0,13.0,6.0,90.0
USI0000KAPV,34.5753,-117.1862,933.3,,,,,,,,
USI0000KAQX,32.9951,-81.2702,49.0,14.0,14.0,14.0,14.0,14.0,13.0,7.0,90.0
USI0000KASN,33.5699,-86.0509,160.9,14.0,14.0,12.0,11.0,12.0,13.0,7.0,83.0
USI0000KATA,33.1018,-94.1953,85.3,0.004,,,,8.0,12.0,7.0,
USI0000KAUB,32.6,-85.5,198.0,,,,,,,,
USI0000KAVQ,32.4096,-111.2184,619.0,14.0,14.0,14.0,14.0,14.0,14.0,5.0,89.0
USI0000KAXV,40.4934,-84.2989,278.0,13.0,16.0,15.0,14.0,13.0,14.0,6.0,91.0
USI0000KAYX,35.3926,-86.0858,324.6,,,,,,,,
USI0000KBCG,30.117,-91.55,10.0,,,,,,,,
USI0000KBDX,45.4333,-105.4172,924.8,,,,,,,,
USI0000KBHC,31.7138,-82.3938,61.3,14.0,14.0,13.0,13.0,14.0,14.0,7.0,89.0
USI0000KBOU,40.0,-105.3333,1624.9,,,0.008,,,,,
USI0000KBPP,46.187,-103.4281,901.6,,,,,,,,
USI0000KBRO,25.9068,-97.4259,6.7,7.0,8.0,8.0,8.0,7.0,8.0,4.0,50.0
USI0000KBRY,37.8143,-85.4996,203.9,13.0,14.0,13.0,13.0,14.0,14.0,7.0,88.0
USI0000KBUB,41.7767,-99.1497,665.1,,,,,,,,
USI0000KBWW,46.1667,-103.3,903.7,14.0,14.0,14.0,14.0,14.0,14.0,7.0,91.0
USI0000KBYL,36.8,-84.2,358.8,13.0,14.0,14.0,14.0,14.0,14.0,7.0,90.0
USI0000KC35,43.5259,-89.9832,276.5,14.0,14.0,14.0,14.0,14.0,14.0,7.0,91.0
USI0000KC62,41.4727,-85.2608,306.3,13.0,12.0,14.0,3.0,10.0,11.0,4.0,
USI0000KC65,41.3651,-86.3005,243.8,13.0,14.0,14.0,14.0,14.0,14.0,7.0,90.0
USI0000KC83,37.8284,-121.6258,23.2,11.0,13.0,10.0,13.0,13.0,13.0,6.0,79.0
USI0000KCBX,43.5,-116.2333,952.0,,,,,,,,
USI0000KCCB,34.1115,-117.6876,438.6,13.0,13.0,13.0,13.0,13.0,13.0,6.0,84.0
USI0000KCDI,39.975,-81.5776,243.5,14.0,16.0,15.0,14.0,14.0,14.0,7.0,94.0
USI0000KCFJ,39.9756,-86.9199,243.5,14.0,14.0,14.0,14.0,13.0,14.0,7.0,90.0
USI0000KCKZ,40.3833,-75.2833,172.8,14.0,13.0,14.0,14.0,14.0,13.0,7.0,89.0
USI0000KCLX,32.65,-81.05,30.0,,,,,,,,
USI0000KCMB,29.4333,-92.9833,29.0,,,,,,,,
USI0000KCPF,37.3874,-83.2616,383.0,,,9.0,13.0,13.0,13.0,6.0,
USI0000KCPU,38.1461,-120.6482,403.9,12.0,14.0,12.0,14.0,14.0,9.0,7.0,82.0
USI0000KCQA,40.4841,-84.5601,272.5,,,,,,,,
USI0000KCTO,40.917,-72.783,23.0,,,,,,,,
USI0000KCVC,33.6333,-83.85,246.6,12.0,14.0,12.0,13.0,13.0,14.0,6.0,84.0
USI0000KCWN,38.75,-104.85,2114.0,6.0,5.0,5.0,5.0,5.0,7.0,4.0,37.0
USI0000KCXE,36.7883,-78.5016,153.3,14.0,14.0,14.0,14.0,14.0,14.0,7.0,91.0
